Production_budget_m,Domestic_gross_m,Worldwide_gross_m,Budget_Level
460.0,667.830256,2265.935552,High
400.0,858.373,2794.731755,High
379.0,241.071802,1045.713802,High
365.0,459.005868,1395.316979,High
300.0,678.815482,2048.359754,High
300.0,229.024295,655.945209,High
300.0,200.074175,879.077344,High
275.0,213.767512,393.151347,High
263.7,73.058679,282.7781,High
263.0,330.360194,872.395091,High
260.0,543.638043,1647.733638,High
260.0,200.821936,583.777242,High
258.0,336.530303,894.86023,High
250.0,408.084349,1151.899586,High
250.0,343.25683,760.928081,High
250.0,302.089278,929.411069,High
250.0,258.241522,959.358436,High
250.0,255.119788,940.323039,High
250.0,225.764765,1236.703796,High
250.0,160.891007,759.959662,High
237.0,785.221649,2923.706026,High
232.0,200.12,391.081192,High
230.0,448.139099,1082.228107,High
230.0,172.558876,794.861794,High
230.0,169.368427,591.692078,High
225.0,623.35791,1515.100211,High
225.0,291.045518,667.999518,High
225.0,141.62149,417.341288,High
225.0,89.302115,260.002115,High
220.0,262.030663,757.890267,High
220.0,65.2334,313.477717,High
217.0,130.168683,602.89334,High
215.0,652.306625,1669.963641,High
215.0,179.020854,654.213485,High
210.0,402.11187,836.519699,High
210.0,245.439076,1104.054072,High
210.0,234.362462,459.260946,High
210.0,105.487148,322.459006,High
207.0,218.080025,550.517357,High
205.0,70.107728,367.262558,High
205.0,58.504105,360.240189,High
200.0,814.11507,1910.048245,High
200.0,700.059566,1336.49432,High
200.0,674.171,2222.759773,High
200.0,608.581744,1242.805359,High
200.0,533.539991,1055.083596,High
200.0,486.295561,1025.006125,High
200.0,434.038008,1073.06454,High
200.0,415.00488,1068.879522,High
200.0,411.331607,952.224986,High
200.0,408.992272,1215.392272,High
200.0,373.524485,794.697557,High
200.0,369.345583,767.531825,High
200.0,334.19111,1025.49111,High
200.0,334.19111,1025.49111,High
200.0,304.360277,1110.526981,High
200.0,303.003568,1014.938545,High
200.0,268.488329,743.45581,High
200.0,234.770996,490.359051,High
200.0,233.921534,747.862775,High
200.0,202.853933,708.996336,High
200.0,191.450875,560.155383,High
200.0,183.651655,379.751131,High
200.0,173.956935,760.732926,High
200.0,173.005945,720.752238,High
200.0,172.062763,399.866199,High
200.0,168.152111,391.261706,High
200.0,166.112167,757.677748,High
200.0,164.870264,401.731759,High
200.0,159.555901,648.455339,High
200.0,125.322469,365.491792,High
200.0,118.307188,218.768299,High
200.0,116.987516,210.469803,High
200.0,116.601172,219.535492,High
200.0,95.850844,404.560145,High
200.0,61.555145,133.357601,High
200.0,46.801036,166.360232,High
195.0,352.390543,1123.794079,High
195.0,80.101125,409.953905,High
195.0,65.187603,197.687603,High
190.0,353.00702,1514.553486,High
190.0,228.778661,467.381584,High
190.0,202.706711,531.86165,High
190.0,144.840419,353.640419,High
190.0,101.802906,411.002906,High
190.0,40.463197,159.197755,High
187.5,123.08712,333.771037,High
186.0,318.604126,585.171547,High
185.0,534.987076,1006.234167,High
185.0,317.101119,786.635413,High
185.0,237.282182,554.606532,High
185.0,168.052812,561.072059,High
185.0,158.84834,335.673708,High
185.0,113.929605,489.181357,High
185.0,92.054159,258.829058,High
185.0,62.253077,250.367666,High
185.0,55.817425,167.097737,High
182.0,355.559216,1046.587513,High
180.0,315.058289,850.482778,High
180.0,241.407328,758.536735,High
180.0,234.037575,811.724385,High
180.0,140.125968,256.585882,High
180.0,126.643061,348.902025,High
180.0,73.864507,180.047784,High
180.0,40.47937,215.098356,High
179.0,47.482519,181.982519,High
178.0,155.442489,542.537546,High
178.0,145.443742,527.267828,High
178.0,100.206256,367.02898,High
175.0,426.829839,1129.576094,High
175.0,364.001123,953.535821,High
175.0,356.461711,850.566343,High
175.0,334.20114,878.271291,High
175.0,325.100054,745.74498,High
175.0,293.004164,731.463377,High
175.0,210.460015,797.660271,High
175.0,210.460015,797.660271,High
175.0,198.351526,381.68738,High
175.0,152.901115,383.541369,High
175.0,150.201498,302.469017,High
175.0,113.805681,221.229335,High
175.0,102.491776,405.760225,High
175.0,100.28969,174.131329,High
175.0,88.24622,264.24622,High
175.0,77.047065,251.509052,High
175.0,39.175066,139.630336,High
175.0,38.362475,151.716815,High
170.0,718.732821,1484.765287,High
170.0,417.71976,1308.323302,High
170.0,333.714112,770.882395,High
170.0,312.433331,621.156389,High
170.0,259.746958,714.401889,High
170.0,208.545589,710.644566,High
170.0,188.042855,312.183437,High
170.0,155.136755,401.021746,High
170.0,150.358296,433.058296,High
170.0,120.150546,300.150546,High
170.0,114.766307,353.166307,High
170.0,110.500138,383.299914,High
170.0,93.436322,206.627518,High
170.0,85.83821,401.90004,High
170.0,77.042381,276.928112,High
165.0,376.85108,1003.775632,High
165.0,238.736787,756.244673,High
165.0,232.64192,676.343174,High
165.0,222.527828,648.415024,High
165.0,217.581232,494.870992,High
165.0,189.412677,496.511521,High
165.0,188.017894,648.785349,High
165.0,108.32783,392.07364,High
165.0,103.144286,384.169424,High
160.0,504.014165,1268.697483,High
160.0,335.061807,1143.7587,High
160.0,322.719944,807.330936,High
160.0,292.576195,728.53796,High
160.0,281.723902,647.396133,High
160.0,200.676069,529.076069,High
160.0,146.408305,355.408305,High
160.0,127.509326,329.631958,High
160.0,63.150991,217.98632,High
160.0,60.674817,181.674817,High
160.0,47.36529,438.899824,High
156.0,61.433527,122.359309,High
155.0,100.916094,468.043852,High
155.0,59.874525,290.930148,High
155.0,34.297191,167.297191,High
152.0,146.880162,489.592267,High
151.5,198.539855,449.239853,High
151.0,319.246193,708.272592,High
150.0,477.373578,1437.862795,High
150.0,412.563408,817.691766,High
150.0,400.953009,1257.909889,High
150.0,341.268248,1002.462578,High
150.0,292.13726,939.619849,High
150.0,290.201752,886.742787,High
150.0,281.553689,738.576929,High
150.0,248.757044,630.901967,High
150.0,227.946274,624.234272,High
150.0,224.543292,432.224634,High
150.0,206.459076,475.825484,High
150.0,206.445654,626.549695,High
150.0,206.36214,644.602516,High
150.0,205.343774,358.858124,High
150.0,190.06828,518.058826,High
150.0,181.030624,449.326618,High
150.0,180.17488,599.680774,High
150.0,179.883157,374.82576,High
150.0,177.243721,402.231063,High
150.0,165.249063,664.837547,High
150.0,153.636354,365.769378,High
150.0,139.27091,427.30026,High
150.0,137.690172,579.055653,High
150.0,135.386665,310.043823,High
150.0,133.501348,399.387745,High
150.0,133.375846,490.875846,High
150.0,133.298577,483.15204,High
150.0,131.772187,319.713881,High
150.0,126.631277,287.594577,High
150.0,119.43677,292.817841,High
150.0,114.053579,328.015029,High
150.0,96.093622,231.219744,High
150.0,83.670083,305.270083,High
150.0,82.280579,195.080579,High
150.0,79.727149,238.202668,High
150.0,73.103784,205.440387,High
150.0,70.592228,143.987946,High
150.0,62.189884,142.634358,High
150.0,45.157105,334.486852,High
150.0,45.157105,334.486852,High
150.0,35.08832,151.525973,High
150.0,21.392758,39.549758,High
150.0,19.06066,59.053195,High
149.0,64.665672,179.357126,High
145.0,216.391482,746.921271,High
145.0,177.002924,614.58627,High
145.0,171.091819,448.191819,High
145.0,111.50643,269.80643,High
145.0,103.412758,306.94167,High
145.0,68.671925,121.64539,High
144.0,128.350574,229.008658,High
142.0,160.942139,431.942139,High
140.0,257.730019,386.839614,High
140.0,201.578182,554.6,High
140.0,176.654505,370.569776,High
140.0,143.528619,521.170825,High
140.0,130.444603,285.4,High
140.0,122.52306,375.740705,High
140.0,111.110575,456.810575,High
140.0,65.014513,268.314513,High
140.0,55.48377,199.64668,High
140.0,48.54677,166.598362,High
140.0,31.153464,138.836756,High
139.0,403.706375,821.706375,High
138.0,107.509799,186.97625,High
138.0,32.116746,76.416746,High
137.5,134.806913,265.573859,High
137.0,132.177234,245.031679,High
137.0,32.13183,85.13183,High
135.0,187.168425,573.068425,High
135.0,183.637894,532.938302,High
135.0,123.477607,245.7246,High
135.0,93.926386,212.912137,High
135.0,83.02813,286.896578,High
135.0,82.051601,245.328374,High
135.0,64.006466,157.956462,High
135.0,63.478838,164.920076,High
135.0,37.968963,69.532497,High
132.9,54.858851,170.0243,High
132.0,234.280354,606.836535,High
132.0,83.350911,366.942531,High
130.0,424.668047,864.868047,High
130.0,249.757726,789.592708,High
130.0,227.47107,444.043396,High
130.0,216.64874,623.14466,High
130.0,215.434591,631.910531,High
130.0,180.202163,518.858449,High
130.0,177.39751,385.997896,High
130.0,171.958438,348.901032,High
130.0,149.260504,554.987477,High
130.0,148.415853,321.887208,High
130.0,138.54087,273.271982,High
130.0,131.538435,492.846291,High
130.0,118.311368,290.650494,High
130.0,101.200044,352.831065,High
130.0,77.591831,373.993951,High
130.0,60.522097,251.499665,High
130.0,49.554002,215.08081,High
130.0,33.618855,79.076678,High
129.0,160.799505,521.533238,High
127.5,137.748063,356.148063,High
127.0,226.277068,614.202315,High
127.0,113.746621,353.756621,High
125.0,337.135885,766.575131,High
125.0,316.831246,798.210215,High
125.0,217.536138,767.820459,High
125.0,210.031325,630.163454,High
125.0,191.204754,485.004754,High
125.0,186.848418,535.663443,High
125.0,186.740799,555.840117,High
125.0,175.003033,527.909949,High
125.0,163.214888,493.214888,High
125.0,153.707064,343.242613,High
125.0,136.314294,376.0,High
125.0,126.477084,402.448265,High
125.0,113.20387,280.35592,High
125.0,107.325195,238.317814,High
125.0,68.42012,304.858121,High
125.0,62.342368,107.351191,High
125.0,58.877969,211.856088,High
125.0,33.370166,61.642798,High
125.0,32.698899,61.698899,High
123.0,260.348825,345.445403,High
120.0,182.618434,328.711434,High
120.0,162.19292,416.168316,High
120.0,148.64882,400.689914,High
120.0,131.921738,289.480691,High
120.0,124.987022,619.310368,High
120.0,115.802596,229.545589,High
120.0,101.028233,427.947217,High
120.0,100.814328,227.163273,High
120.0,93.050117,286.192091,High
120.0,89.107235,287.916633,High
120.0,85.36445,142.531552,High
120.0,64.956806,166.0,High
120.0,58.607007,242.981799,High
120.0,57.712751,107.212751,High
120.0,43.945766,93.394462,High
120.0,35.818913,163.018913,High
117.0,76.423035,258.75137,High
116.0,213.511408,856.081053,High
115.0,290.149425,560.483719,High
115.0,132.556852,416.456852,High
115.0,40.914068,77.628265,High
112.0,42.779261,232.017848,High
111.0,84.41038,288.510892,High
110.0,324.591735,786.36237,High
110.0,274.092705,685.710761,High
110.0,250.863268,579.446407,High
110.0,155.190832,456.258539,High
110.0,142.614158,563.749323,High
110.0,134.529403,382.288147,High
110.0,130.179072,295.075882,High
110.0,125.531634,362.989076,High
110.0,125.304276,339.504276,High
110.0,113.330342,215.3,High
110.0,106.580051,330.780051,High
110.0,102.608827,208.370892,High
110.0,100.014699,302.239672,High
110.0,98.780042,229.155503,High
110.0,85.463309,263.880341,High
110.0,80.001807,253.015298,High
110.0,77.222099,177.241171,High
110.0,71.017784,348.547523,High
110.0,65.452312,152.36437,High
110.0,61.737191,127.983283,High
110.0,50.026353,76.482461,High
110.0,48.097081,150.468,High
110.0,47.398413,218.674938,High
110.0,40.563557,167.91069,High
110.0,24.004159,72.004159,High
110.0,15.351455,61.85044,High
110.0,15.351455,61.85044,High
109.0,58.183966,87.683966,High
108.0,228.433663,653.609107,High
106.0,40.098064,119.266661,High
105.0,144.801023,348.629585,High
105.0,140.015224,298.815224,High
105.0,104.400899,270.997378,High
105.0,64.063008,402.156682,High
105.0,54.768952,121.1,High
105.0,6.712451,10.364769,High
104.0,100.234838,408.803696,High
103.3,101.643008,232.643008,High
103.0,187.683805,456.435588,High
103.0,100.478608,133.214549,High
102.5,97.10462,212.282709,High
102.0,167.365,594.420216,High
102.0,132.024714,358.824714,High
102.0,127.195589,465.195589,High
102.0,27.108272,130.673154,High
100.0,262.233381,874.95453,High
100.0,203.464105,515.376182,High
100.0,184.031112,336.529144,High
100.0,180.01174,362.21174,High
100.0,173.005002,331.32341,High
100.0,162.805434,449.841566,High
100.0,159.227644,389.14044,High
100.0,148.4386,310.650574,High
100.0,146.282411,365.3,High
100.0,130.164645,267.985456,High
100.0,124.870275,236.827677,High
100.0,119.219978,170.93647,High
100.0,116.949183,389.816136,High
100.0,107.518682,262.794441,High
100.0,101.295562,234.4,High
100.0,100.138851,325.5,High
100.0,100.138851,325.5,High
100.0,89.630573,169.630573,High
100.0,85.028192,311.979256,High
100.0,77.233467,99.123656,High
100.0,75.030163,249.488115,High
100.0,72.688614,243.388614,High
100.0,72.688614,243.388614,High
100.0,67.631157,278.731369,High
100.0,66.889043,212.026975,High
100.0,66.757013,165.124093,High
100.0,59.475623,96.150482,High
100.0,57.377916,171.377916,High
100.0,56.846802,126.81503,High
100.0,55.675313,139.716717,High
100.0,49.43837,69.548641,High
100.0,48.41785,95.255485,High
100.0,45.216793,115.103325,High
100.0,40.202379,82.078046,High
100.0,39.322544,209.461378,High
100.0,38.530322,74.826329,High
100.0,38.120554,91.8,High
100.0,35.497337,97.52302,High
100.0,33.70016,220.796009,High
100.0,28.782481,126.704591,High
100.0,27.16677,75.568355,High
100.0,25.020758,89.693309,High
100.0,23.022309,103.039258,High
100.0,17.018422,59.918422,High
100.0,15.95104,85.481904,High
100.0,13.287908,27.072169,High
100.0,10.853945,30.080003,High
100.0,4.411102,7.094995,High
99.0,130.178411,250.09161,High
99.0,30.824628,85.210012,High
98.0,202.00764,435.040395,High
97.0,77.7305,183.124621,High
97.0,74.262031,238.521247,High
95.0,201.151353,542.351353,High
95.0,201.151353,542.351353,High
95.0,161.321843,879.765137,High
95.0,108.638745,159.691085,High
95.0,95.347692,294.680778,High
95.0,88.768303,223.050874,High
95.0,86.907746,104.907746,High
95.0,81.562942,165.720921,High
95.0,63.570862,263.89282,High
95.0,50.802661,65.7,High
95.0,44.114232,94.894448,High
95.0,26.410477,91.669648,High
95.0,17.725785,108.874967,High
94.0,380.52937,936.094852,High
94.0,377.845905,1120.210896,High
94.0,342.548984,919.148764,High
94.0,131.144183,273.330185,High
93.0,315.54475,891.216824,High
93.0,181.166115,365.9,High
93.0,176.760185,470.9862,High
92.5,71.195053,162.839667,High
92.0,261.441092,631.441092,High
92.0,67.349198,304.249198,High
92.0,22.406362,23.911362,High
92.0,10.017322,18.517322,High
91.0,58.236838,187.861183,High
90.0,404.508916,961.632807,High
90.0,250.690539,587.790539,High
90.0,245.852179,511.358276,High
90.0,226.164286,347.425832,High
90.0,209.028679,498.438212,High
90.0,196.573705,886.686817,High
90.0,190.872904,402.407997,High
90.0,155.464351,288.693989,High
90.0,143.619809,487.519809,High
90.0,132.384315,289.660619,High
90.0,125.305545,259.73609,High
90.0,120.620254,303.5,High
90.0,110.515313,191.145256,High
90.0,102.515793,239.37397,High
90.0,100.920329,165.9,High
90.0,93.432655,162.122642,High
90.0,85.886987,249.517956,High
90.0,84.052762,186.04902,High
90.0,83.107829,203.932174,High
90.0,78.765986,244.041804,High
90.0,75.817994,155.750628,High
90.0,73.20934,191.2,High
90.0,72.708161,162.753837,High
90.0,68.559554,200.859554,High
90.0,65.07554,328.325007,High
90.0,62.36256,143.04956,High
90.0,61.363304,169.4,High
90.0,60.874615,106.0,High
90.0,58.250803,273.477501,High
90.0,58.220776,87.420776,High
90.0,51.877963,203.653524,High
90.0,47.546796,120.1,High
90.0,45.630104,130.298184,High
90.0,42.885593,140.9,High
90.0,35.168966,65.716126,High
90.0,21.295021,63.356133,High
90.0,20.377913,139.877913,High
90.0,8.224288,10.551417,High
90.0,8.224288,10.551417,High
88.0,241.688385,495.7,High
88.0,61.649911,105.021488,High
88.0,51.024708,159.487563,High
